ich i
fernsehkameras monitors
ließe reverse-engineer
schmelzöfen furnaces
mikrowellen microwaves
ansätzen laterally
milliardenfachen billion-fold
verdeckt hides
billionenfachen trillions-fold
rezessionen recessions
zukunftsbezogenen forward-looking
demokratisierend democratizing
verdopplungen doublings
leidenschaftliche impassioned
wasserlinie waterline
zurückging subsided
gnadenlos long-tail
unheimlichsten scariest
bemühte strained
erdbeeben 8.5
nachrichtenwelt news-gathering
übermittelten txts
schulterkugelgelenk disarticulation
kleinigkeit inconvenience
pneumatische pneumatic
referenzpunkten baselines
vormenschlichen pre-human
terminüberschneidung scheduling
wandten barcoded
erkundete well-sampled
drei-kilo-hummer lobster
langarm-kalmar bigfin
eisbasierte ice-based
entdeckbaren discoverable
schleppnetze trawls
zehnjahresprojektes ten-year
unablässigen unremitting
prag prague
unüberwindbares insuperable
entzündeten appendicitis
kuhnschen kuhnian
vorträgen inter-sessions
gefühlt childbirth
gendarmerie constabulary
anpassungsfähige adaptable
seescheide squirt
rudimentäres rudimentary
bewegungs-chauvinist chauvinist
schachfigur dexterously
geschicklichkeit dexterous
beweglichkeit agility
prämie premium
rückschließen inference
kitzelhaftigkeit ticklishness
autorücksitzen backseats
gleicher retaliate
aufgaben tasks
verschiedenste bridged
stereotypische stereotyping
vorbeiflug fly-by
topographische topographic
hochmagnetisch magnetized
prozentanteil blueish
gewichtsprozent sixteen
umweltvermesser regional-scale
regionalbereich surveyor
unterirdische subsurface
vorprogrammieren preprogram
raumfahrzeug spacecraft's
reibungshitze frictional
helium-höhenballon high-altitude
angefangen started
kaufte bought
fähnchen clasps
haupstütze playtime
fleißige industrious
zwanghafte compulsive
kontakt-knüpfer networkers
sechstgrößte sixth-largest
energieeinsparung achieves
unentschlossenen undecided
einzelhandelskette retailer
anordnung mandating
umweltfreundlichen greentech
abflachen leveling
immunisiert [percent]
nicht-immunen non-immune
benzinkäufe truckers
verschreibungsverhalten prescribing
quasi-aktiv quasi-active
druckfrischen hot-off-the-press
cctv-gebäude koolhaas's
provisorische rough-and-ready
45-stöckigen 45-story
45-stöckiger walkup
mikro-wirtschaftssystem micro-economies
roter-ziegelstein-tapete brick-patterned
hanteln barbells
zusammengebastelt freshest
selbstgebauten self-built
nachts nightfall
müllbezogene garbage-related
tagesverlauf throughout
hausbesuche visiting
übelkeiterregende stomach-churning
unwirtlichen inhospitable
unbegrenzter unreserved
gefundenes reappropriate
tabellen spreadsheets
quaternionen quaternions
sorglos baxter's
kraftfreien-schwerkraftausgleichs-modus zero-force
folgert infers
mühsamer onerous
panikmacher scaremongers
strahls beam's
punktwolken rosslyn
erzählern narrated
brandstiftung arson
antike ancient
berichtenswert newsworthy
anhörungen hearings
anklagen denunciations
politisierung politicization
wieder" operationalization
anti-völkermord-bewegung anti-genocide
entgegenstellt upstander
kapitalabzugskampagne divestment
unpolitisch apolitical
24-jährigen 19-year-olds
überdehnung over-stretch
oberhand prevail
entgegenzustellen harm's
atomsprengköpfe reigning
besserung recovery's
zehnkämpfer decathlete
fehlerbehebung troubleshooting
zypern cyprus
un-stützpunkt overran
staatenbildung nation-building
vizekönig viceroy
genfer bowing
zerrissenheit brokenness
staatenlos stateless
staatenlosen stateless
flaschenzug pulley
vorsprung 34-year
verurteilte harmdoers
instandsetzen mending
verkümmerung stunting
lebensmonate breastfed
mauritien mauritania
wetterfest climate-proof
karmerun cameroon
reingehen swipe
dörfern village-level
ernüchtert sobers
myeloische myelogenous
krebsdiagnose diagnosing
mitgründer co-founded
elternjahre childbearing
optimierungsmodell optimization
vorhin earlier
krebserkrankungen primaries
ansprachen non-responders
interdisziplinarität cross-discipline
elektronische electronic
übergreifenden cross-disciplinary
vogelgesang birdsong
musikausschnitte one-second
übertönt veneering
unpassender inappropriately
kongruenz congruent
inkongruent incongruent
hüfttief hip-deep
eine-schachtel-pro-tag pack-a-day
rekordwanderung record-breaking
tintenfische squids
sowohl astronauts
prozentige wholly-owned
übermäßige excess
sauerstoff-produzierendes oxygen-producing
kreislauf-system planet's
barbarisch barbarically
geschützte protected
stachelköpfe rockfish
seebrassen monkfish
granatbarsch 200-year-old
anzusiedeln roughy
textstück paragraph
fruchtessenden fruit-eating
vorderkantenwirbel tornado-like
strecken stretch-activated
kontraktion contraction-by-contraction
parasitieren parasatize
endoskopischen endoscopic
modifizieren physiologies
magennervenknotens stomatogastric
verzahnt interdigitated
philosophieren philosophize
verschachtelt convoluted
millionen-tastigen million-key
spezien-spezifisch species-specific
geist-ähnlichen ghost-like
raumfahrtmanifest traveler's
mögliche possible
vergeltungsschlag retaliatory
hochexplosiv high-explosive
viertelsekunden-intervallen quarter-second
augenverätzung eyeburn
basslautsprechern subwoofers
künstlerischem conceptions
ergebnisse results
notfallabteilung contingency
kernkraftgetriebenen nuclear-powered
schau forceful
obzessiven obsessive
braun brown
hüftersatz hip
zugehörigen respective
funkmasten masts
röntgenstrahlung x-rays
kapazität capacity
effektivität efficiency
eigensicheren intrinsically
anzugeben sizing
apotheker pharmacist
doppelt-klickt double-clicking
schabt scrape
hochfahren o.s
neues viticulturists
raffiniertes lipid
hinterteil rear
micky-maus-interpretation mickey-mouse
niederfrequenz-verhalten lower-frequency
liegenbleiben down-stay
besitzerin insistence
hurensohn bitch
trainiere puppy-train
lebenspartner life-mate
geometrie geometry
zeitstücke time-sample
beziehungen relationships
hundefreundliches dog-friendly
erzeugendes electricity-generating
biologisch biological
liedermacher songwriters
markenzeichen trademark
hochfunktionaler high-functioning
wahrnehmens perceiving
ästhetische aesthetic
quer-kommunikation cross-talk
schwedenstädtchen swede
schachbretter chessboards
4800 4,800
überlangen overlong
füße overlarge
vermengen recombine
unveränderlicher unvarying
schimpansengruppen chimpanzee
austauschs beauties
anbaut brewed
austausch exchange
wirtschaftskrisen depressions
furchtbare awful
neogothische neo-gothic
autobahnkreuzes interchange
42-stöckiges 42-story
näherbringen acquaint
missbrauchs misuse
drogenüberdosen one-third
überdosen overdoses
fettabsaugen liposuction
virologisches virology
tragbares hand-held
herrstellung pan-viral
nachweisreagenzen reagent
ausführliche how-to
grundmaterialien order-off-the-shelf
fingerabdrücken fingerprints
nasenspülung nasal
behördlich irb-approved
undefinierte undefined
erworbene community-acquired
atemwegsinfektionen tract
charakterisierte uncharacterized
intubiert intubate
prostatakrebs prostate
prädisponiert predisposed
erschlossen early-onset
elektrochemie electrochemistry
hochleistung uncommonly
22-jährigen 22-year-olds
aluminiumschmelzerei smelter
elektrometallurgie electrometallurgy
flüssigmetall low-density
periodensystem enunciated
versorgen powering
netzspeicherung grid-level
1-wattstunden-zelle watt-hour
megawattstunden megawatt-hours
temperatur temperature
stromstößen surges
größenordnung scaling
berghütten chalets
sie... you...
ausläufern foothills
kleinserienproduktion batch
risikokapitalgestützte venture-backed
unterwasserroboter open-sourced
misserfolgen failure-based
umfasste spanned
einzeller single-cell
mausrad deflate
sehstärke recalibrates
zweidimensional two-dimensionally
schnellvorlauf forwarded
verzaubern dazzle
kostenloses no-tech
arzt-patient-interaktionen physician-patient
gouverneursamt gubernatorial
paradebeispiele caricatures
alphatypen alphas
physiologisch physiologically
10-prozentigen 10-percent
25-prozentigen 25-percent
15-prozentigen 15-percent
mittagspause lunchroom
kauern hunching
viel-macht-posen posers
breche quitting
täuschen fake
stressigen evaluative
spinnennetze spiderwebs
biberdämme beaver
kapern commandeer
gerechtigkeit justice
katholizismus catholicism
ansteckende repetitis
replizierenden replicating
missverständnisse misapprehensions
vollkommener celibacy
missionieren proselytizing
tanzsäle ballrooms
memetik memetics
avirulenz avirulence
unerschütterliches unshakable
überkompensiert overcompensate
übergestikuliert overgesticulate
unklarer ill-defined
schwindelerregendste dizzyingly
vorspielen auditioned
südafrikanischem enchanting
altehrwürdiges time-honored
rechnen reckon
andächtiges rapt
verordnete decreed
unmögliche unfeasibly
protestierte remonstrated
orchesteraufführung orchestral
beschimpfte chastised
feierlich ceremoniously
unterlassen inaction
kreditgeber lender
mini-entwürfe mini-blueprints
hausangestellte domestics
entsprechender middleclass
einsatzorten karachi
modularisierte modularized
viertel-hektar quarter-acre
überzeugenden persuasively
bruderliebe brotherly
familienzusammenkünften reunions
erbschaften heritages
san-buschmänner bushmen
hochkocht tempers
abkühlen cooling-off
terrorismus terrorism
begräbnisstätte tomb
abrahams-weg-lauf uniting
spielregel-veränderer game-changer
nachgewiesen certifiably
friedensnetze third-side
violonistin violinist
ausgewählte hand-selected
kein always
torres-strait-inseln torres
ernteertrag trebled
bestatterin undertaker
aha-erlebnis takeaway
bestechend strikingly
abgedroschen hokey
politisch-spiritueller political-spiritual
einflussbereich exceed
benachteiligt handicaps
kugelsicheren bullet-proof
autarke self-sustaining
herzdekompensation congestive
schweine farmyard
gehirnmitte mid-brain
fehlerhaften erroneous
schwört swears
epilepsie epilepsy
auslöscht errant
kabelbruch breakage
neuro-schrittmachern neuro-pacemaker
fabriziert concoct
preisgeld 100,000-dollar
anwälte lawyers
einzeiligem single-spaced
außergerichtliche arbitration
erstmalig prototyped
gewichtete weighted
verbesserungsvorschläge quoting
unterzeichnetes autograph
anregt soul-searching
schreibkunst penmanship
feuerbestattung cremation
langspielplatten lp
ausgeschlossene shut-outs
ausgaben editions
grüße shut-out
hewlett-stiftung hewlett
mittelmanns cut-out-the-middle-man
verbindungspunkte nubs
neuauflagen re-sampling
kursmaterialien courseware
hintergrundbeleuchtet backlighting
kostenvoranschläge bids
regierungsvertreter feds
gehaltslisten payrolls
schwarzmarkt market's
heranwachsens adolescences
durchmachen self's
stillstandzeit down-time
unverzögerten button-clicking
starrenden screen-staring
hiv-infizierter 80-percent
unverhältnismäßigen disproportionate
stigmatisierend stigmatizing
lehrplanbasierte curriculum-based
geschult retrained
mutter-kind-übertragung mother-to-child
einfachen lecturing
feinabstimmung fine-tunes
ohne-regisseur-situation no-director
entwicklungsmäßig developmentally
mittlere-adoleszenz-gruppe mid-adolescent
parodiert parodied
dämonisiert demonized
porträtierte portraying
risikobereitschaft risk-taking
überempfindlich hypersensitive
gehemmtheit self-consciousness
greifer gripper
ermüdet fatigued
teilaufgaben subtasks
verfolge tracing
ruckartig jerky
offenherzigkeit open-heartedness
lehrte mhlongo
wilderei anti-poaching
sollys solly's
wucht ferocity
schlagkr vegetarianism
gefahr danger
häuser houses
stützte propped
keshavas keshava's
mitbegründerin co-creator
fünf-jahr-plan 5-year
konventionell conventional
bestrahlt irradiate
überzogenen sugarcoated
hauptproduzenten less-than-picturesque
tiefsee-tauchbooten dived
tauchschiff liveaboard
meeresschutzgebiet islands-protected
eindringende dulled
pazifische longnose
bankräuber robber
nichtfischen compensated
absichtserklärungen mous
funktionierendes up-and-running
durchdachtes thought-out
meeresbewohnern sealife
scheckbücher checkbooks
bevölkerungzahl employment-to-population
mehrsprachige multi-language
ausgemacht mattered
gleichaussehende similar-looking
reingeplatzt loosened
technologie-unterstützten technology-facilitated
leistungsorientierter merit-based
stabilisierten stabilized
wohlergehen welfares
computerherren overlords
abergläubisch superstitions
monografien monographs
56sten 56th
unrepräsentierbare un-representable
schiebedach retractable
öffnet opens
sprechblasenaufkleber stickers
tagebücher diaries
umgestellt reworked
grafikdesigner graphic
bildeten constituted
stammesgesellschaften tribal
nomadische hunter-gather
kulturelle cultural
altersbedingte age-based
werbung ads
weißhaarige white-haired
begabt outstandingly
achtstellige eight-digit
ein-aus on-off
programmwahl selector
25-jährigen 25-year-old
langzeitplänen devising
katastrophaler constituting
übertragbarer noncommunicable
besonderheiten features
lebensstils predispose
ikonen icons
individuellen geographies
nachhallende globally-resonating
hoheit highness
updatenden self-update
barmherzig merciful
fünfte-welt-produktion made-in-fifth-world-country
zeichner inker
zeichentrickserie 26-episode
drohende alarm
talibanisierungf talibanization
comicheft-reihe al-mutawa's
datenflut glut
einkünfte opec's
geringfügig mushroomed
schuldet owes
daten-detektiv detective
nachahmern copy-cat
unbezahlten unpaid
verflacht flattens
grafische visualizers
kriegstreibender warmongering
militarisierte militarized
weizengras wheatgrass
tusch doosh
weltanschauungen worldviews
linksorientierte left-leaning
einseitiges lopsided
standpunkte joyously
parfümerie perfumery
veilchen violets
laborgröße laboratory-scale
sinnloses prisms
energieniveaus differs
parfümerien perfumers
krebserregendes aftershave
biophysiker biophysicist
einfaches plain
steuerformulare tax
bürokratischem incomprehensibly
pflegekind eyre
kniend kneeling
airfix-farbe airfix
buchen beech
gummizelle padded
ex-bewährungshelfer ex-probation
ex-armeeoffizier ex-army
elternlose pasts
arbeitsintensiv labor-intensive
fossilfundstellen fossil
riesenschildkröten tortoises
dunkelhäutig dark-skinned
schrumpften dwarfed
evolutionärer evolutionarily
verlauf extinguished
platzsparwut space-saving
modelliermasse sculpey
mittelmäßiges moderately
schleiffläche sanding
hochglanz glass-smooth
abschließend triple-zero
richtige screen-shot
gehendes eatery
gießerei foundry
kopfverletzungen injures
strümpfe stockings
eingegipst plaster
tropf drips
vorurteilsfrei judgment-free
herumfahren taxiing
fingerabdrücke wiping
kunstfluglehrerin aerobatics
skilangläuferin cross-country
oberflächlichen rubbish
impressionismus impressionism
fräsen milling
biologische biopolymers
lebensmitteln foodstuffs
fettfreies fat-free
gaseinspritzung gas-injected
sitzflächen blending
sozial-erotischen socio-erotic
selbst-inspiriert self-inspired
gefilterte filtered-down
verwässerte watered-down
diatomischen diatomic
oberflächenstrukturen single-surface
typologien typologies
sprudelnder effervescent
produkte single-surface
dreirädriges three-wheeled
natürlichen inspired-by-nature
stereolithografie steriolithography
dauerte took
selbstinspirierend self-inspirational
verschmutze contaminator
schwachköpfe wankers
überstunden overtime
erdwürmer earthworms
lumineszenz luminescence
biolumineszenz-buchten bays
torkeln toilet-hugging
physiologe physiologist
lichtträger lightbearer
scharfschütze sniper's
viperfisch viperfish
juwelenartigen jewel-like
schleimschicht mucus
messerscharfer needle-sharp
abzulenken distract
schlauchschulterfisch tubeshoulder
kümmerte kluged
brüstete bragged
schlafdefizit-rivalität one-upmanship
richtiger bird-killer
homosexuelle homosexual
aga-kröten toads
rauchschwalben barn
graustufen grayscale
kooperationen collaborations
kybernetische cybernetic
vorspeise starters
klavierkonzerte rachmaninov
rechtsberater counsels
wanderausflüge hike
unbedachtes off-the-cuff
wiedergutmachung redress
mildernde extenuating
makrodaten macro-data
festgestellt seventy-eight
auszubessern amending
ungewissheiten uncertainties
bewusstmacht self-conscious
selbstbewusstheit self-consciousness
wippe seesaw
berufungsgericht appellate
verantwortlichkeit accountability's
recht law
us-rechtssystems simplifying
co-lehrer co-teacher
setzt impose
zaum reign
vorliegen almost-collapse
klugheit practical
steinmetze stonemasons
regelumgehung rule-bending
geriet panicked
vorgehaltener gunpoint
improvisierte improvised
leistete restitution
staatsanwalt prosecutor
konzentriert focus
nickten approvingly
niedergeschlagen disheartened
regelbefolgung rule-following
bewundernswert admirable
systemänderer system-changers
drogen-straftäter jail-time
einzugliedern rehabilitate
erarbeitet jointly
darlehensnehmer recipients
medizinstudenten third-year
selbstaufopferung self-sacrifice
entgegenzuwirken counter-proliferate
anfälliges standoff
wortwörtlich brink
nuklearwaffen re-target
gegenschlägen retaliation-proof
vergeltung retribution
hausgemachten homegrown
hochwertigen high-value
vorbereitungen preparedness
besseres interdiction
hurrikanähnlicher hurricane-like
windrichtung downwind
menschenverstand commonsensical
gefahrenzone evacuating
überlebenschance survivable
taktlos indelicate
absurde farcical
umleiten redeploy
verringerung reducing
thema issue
sensorgesteuert touch-interactive
sektion dissections
scheibenmodus slicer
sinnierten armchairs
lungerten mucking
lautstark loudly
dorfpfarrer clergyman
gutsherren squire
hausangestellten nobleman
miterfinder co-invented
frühstücken breakfasts
empfanden stagnated
[wissenschaft [science
allgemeinwohl] good]
hafenmeister harbormasters
hafenmeisters harbormasters
nachschlagewerken lookup
nautische nautical
einrichtungen] institutions]
[drittmittelförderung [external
wissenschaft] science]
schiffsbau shipbuilding
kann can't
leben?" life?"
einzelheiten entrails
nasa-leute [going.]
carbonsäuren carboxylic
spektrometern spectrometers
reproduktion vanishes
lkw truck
beraterbasiert consultant-based
cloudbasiert cloud-based
unglaubliche unbelievable
cloudbasiert cloud-based
ballonfahren ballooning
sehende non-seen
unvorhergesehene unforeseen
gewohnheiten habits
ballonfahrer balloonist
meteorologen weathermen
vorstellungskraft imagination
grauhaariger grizzled
verspottet mocks
frömmigkeit pieties
zweifelt doubts
auslöschen extinguishing
abgezogen deducted
metaphorisch metaphorical
lippen lips
unberechenbare wayward
amöbenartige amoeboid
passen pay
objekt-metaphern object
kombinationsspiel combinatory
zündet ignites
aufstands upspring
chefredakteurin editor-in-chief
umgebracht assassinated
idiopathische idiopathic
umgekehrten reverse-grinch
nachdrücklich emphatic
liebevollen adoring
konversatorium conservatory
katheterisierung catheterization
meiner mine
gehofft spanx
pendelte commuting
wartungsintensive high-maintenance
rechtsherzinsuffizienz right-heart
herzklappen heart's
lebenrettenden flight-for-life
verschlechterte deteriorated
dreizehneinhalb thirteen-and-a-half-hour
übergroßes over-sized
[französicher [singing
gesang] french]
konservierungsmittel preservative
frösche frogs
verunreiniger contaminant
us-umweltbehörde re-registered
zerschnittenen dissected
schmerzhaftesten testicle
ausleben consummating
verweiblicht feminized
brustkrebs-förderer" promoter
polycarbonathaltigem polycarbonate
moschusriechstoffe musks
mexikanisch-amerikanisch mexican-american
aufbereiteten under-five-percent
flaschen bottles
polyethylen-terephthalat terephthalate
entengroßen goose-sized
feuerzeugen lighters
tierpflegers zookeeper's
strandsäuberungstag clean-up
gouverneur governor
schleppnetz trawl
rekordhalter record-holder
fischhändler fishmonger
plastikverpackten plastic-wrapped
kapitän capt
gemächlicherem stately
seilunterstützten arborist
flughörnchen squirrels
halluzinatorische hallucinatory
strebebögen flying
gebilde garden-like
goldbrauner golden-brown
verfallsdatum expiration
erbeuteten netted
bauchgefühl seat-of-the-pants
kaffeepausen vacations
karrieremacher careerists
theokratische theocratic
einflusskraft clout
einzug processional
[hawaiianischer [hawaiian
östlichsten easternmost
mikronesischen micronesian
wertschätzt appreciates
hundesohn son-of-a-bitch
hodenkrebs testicular
aufdeckst uncover
unsinn bullshit
ressourcevoll resourcefulness
jüdischer jewish
1930er lifeboat
auftauchte reappeared
leitartikeln editorials
zwanzigern twenties
dreißigern thirties
herumwackeln jiggle
hinterwäldlerisches backwoods
proletenstädtchen redneck
omnipräsent omnipresent
schenkten psychoanalysis
troposphäre troposphere
fallstreifen streaks
lee-seite wave-like
forschenden inquiring
grafikprozessoren graphics-processing
datenkompression compressing
messerstecherei knifing
messerstechereien stabbings
haptischen haptic
sauerstoffangereichert oxygenated
streicheln cuddle
nebenher moonlighting
rassistische resisting
rezitierte recited
präexistenten pre-existing
heruntergekommenes derelict
bewerbungen applicants
vorlesungen lectures
dauern outstrip
gleichschritt lockstep
fehlerfrei flawless
massereichen star's
angeber offs
scheibenartige disk-like
zwängen cramming
sternenkrippe stellar
zeichenkünstler self-taught
tschaikowsky tchiakovsky
hymnen anthems
musikgattungen musics
3729 3,729
jahrhundertelange centuries-worth
tonhöhen pitch's
schmähliche baleful
niederträchtiger avaricious
dreiklänge triads
hintergrundgeschichten backstories
drachengesteuerte kite-powered
tragflügelboote hydrofoils
lieblingsspielzeugs plaything
wettrennen towing
pferdekutschen buggies
drachenflieger flier
megawattbereich megawatt-scale
15-megawatt-flügel 15-megawatt
gefestlichte solified
gefestigte solidified
zweiseitiges two-page
pianistin pianist
kreativitätsprozess improvises
platzen dented
beeinflusste impacted
internetzeitalter pre-internet
haustierfilme puppies
einradfahrer unicyclist
einradfahrern unicyclists
geförderte video-driven
internetvideos full-on
brutstätte hotbed
vier-wort-sätzen four-word
korrelieren correlates
überzeugend" unconvincing"
hirnstamm brainstem
nachbürokratisches post-bureaucratic
hetzereien badgering
gymnastik gymnast
zufriedenstellend satisfactory
umstrukturierung revamping
schlüsselfunktion shanghai's
feststellen diagnosing
biotechnologie biotech
gefahr?"] biohazard?"]
biohackerräume biohacker
handelten hammered
schneesturm snowstorm
marienkäfer ladybug
ziegenkäse goat's
königreichs kingdom's
einzusperren detain
prinzipienfragen matters
verbannung banished
falschinformation judgement
hinwegsetzen flouted
schwangerschaftscheck check-up
risikoreiches risk-related
aufzuheben repealing
bevölkerungsgruppen distributing
gewohnheits-recht customary
gesetze laws
siedlungen settlements
ungezügelter unchecked
apotheken pharmacies
20-minuten-umkreis 20-minute
kommunales microgrid
atommeiler micro-nuclear
superschnellstraße parkway
nachdenken mobility
öpnv-netz shared-use
kommerziellen commercialize
planer developers
gästezimmer guestrooms
parkplätze parking's
einstellbaren tunable
beleuchtungen fixtures
überbevölkerungseffekt overcrowding
riesenhaie basking
harmlose plankton-feeding
erstickten suffocate
achtziger mid-80s
krähennest crow's
brandungsrute beachcaster
schliche ground-truthed
mikrosatelliten microsatellites
genetischen differentiation
illegalerweise illegally
riesenhai shark's
polizeibeamte police
fehlbildung deformity
beamter official
abgestritten pecks
einfacherund cannabis
persönlichen reinforce
behüteten sheltered
religiös-orientierten religiously-based
übernachtungen sleepovers
durchgegangen transgender
angeschlagenen tarnished
unbestreitbar indisputably
sie?"] you?"]
["bürgerrechte"] rights"]
würdest."] yourself"]
gleichheit?"] equality?"]
sichtbarkeit visibility
undurchlässig impermeable
erzengel archangel
vorsätzlich intentionally
befrager interrogators
erschafft maintains
fahren continue
teilten randomly
entmenschlichung dehumanization
entindividualisierung de-individuation
unkritisches uncritical
entschuldologie excuse-iology
heldenhaftigkeit heroism
gegenpol counterpoint
selbst-etikettierung self-labeling
konformität conformity
sozio-zentriert socio-centrically
egozentrisch egocentrically
aufzuklären elucidate
axonen bunches
traumlos dreamless
aussteller exhibitors
topographischen topographical
mittellinken central-left
assoziations-kortexen cortices
lebensmöglichen life-permitting
lebenssteuernden life-regulation
sozio-kulturelle socio-cultural
primaten primates
scherzhaft facetiously
feminismus feminism
bücherregal bookshelves
verfasserinnen co-authors
intersektionalität intersectionality
supersmarten super-smart
feministisches feminist
männerhass man-hating
geringfügigkeit smallness
telefonbanking phone-banked
sachbearbeiterin caseworker
wegweisendste looming
wirrungen confusions
sms-unterhaltungen minute-to-minute
gehirnwelle brainwave
schlängeln undulating
schwebenden levitating
vielschichtigen multi-tiered
intra-aktiv intra-active
hirnwellentechnik brainwave
vermenschlichende humanizing
augenzusammkneifen squinting
schrammte rammed
archäologin archeologist
schmerzte ached
laternen lampposts
rotz snot
lächerlichem ridiculously
selbstmitleid self-pitying
schmiss chucked
seltsamste oddest
vergesst losing
unsozialer friendless
umdeutung reframing
umzuetikettieren re-brand
schaltfläche nuzzles
emotional-getriebene emotionally-driven
tabellenförmige spreadsheet-driven
gewissenhaft assiduously
schäbigeren shabbier
verachteten despised
praxeologie praxeology
physiokraten physiocrats
steinbrucharbeiter quarryman
reinigen valeted
reinigung mysteriously
schmerzmittel analgesics
sechstägige six-day
probleme problems
präkognition precognition
staubtrockenen preclinical
herzinfarktpatienten arrhythmias
unliebsame unflattering
erbsenzählerei cherry-picking
kritisiere accusing
publikationsbias publication
komplikationen complications
10.000-seiten 10,000-page
knautschiges squeezy
anziehendes alluring
vorbeisegeln unaffected
schauspielern playacting
klugerweise wisely
zögert hesitates
anbinden conning
bedauerliches regrettable
vernichtend trounce
veröffentlichen-oder-verenden-phase publish-or-perish
drein frowns
psychische illnesses
dritthäufigste third-leading
laienberater counselors
übertragbar less-trained
wohlhabendere better-resourced
unbehandelt untreated
abschreckungsmaßnahmen disincentives
insektenbasierte insect-based
klimaverändernde climate-changing
offenzulegen disclose
ökosystemdienste eco-certification
überemission over-issued
basizität alkalinity
dreist brash
verlogenheit phoniness
philosophierten philosophizing
berghütte referenced
wohnwagen trailer
plattenspieler mixer
handgemacht hand-built
gehäusearbeiten casework
zuschneiden trailers
baukastensystem componentized
gehaltenen image-packed
werkzeugen second-graders
taschenmesser pocketknives
brechstange pry
ganzkörper-training whole-body
zwei-teiler two-parter
brecht break
autofahren driving
prädestiniert destined
abgenutzten worn-out
gelenkknorpels articular
zugelassene worldwide-accepted
intaktes ligament
herauszuwaschen epitopes
bio-zukunft bio-future
gezeigte sidestep
sünden-erlasse forgiveness's
sündenerlässen forgivenesses
objektpräsentation show-and-tell
kulisse backdropped
herunterzufahren hinging
radialer radial
wortschwall tirade
eignet course
geldautomaten atms
reguläre pricey
linearität linearity
hypersonischer hypersonic
nicht-linearität non-linearity
bodenradar-projekt ground-penetrating
stimmgabel resonates
rückstreuung backscatter
jabber-kopfhöhrer jabber
lass lower
anstrengendes workout
freihändig freehand
anspruchslosen lowbrow
nachforsche inquiries
pfauen-ähnlicher peacock-like
schmuckgrafik detract
hand-gezeichnete hand-draw
verschicken valentine
stück-für-stück piecemeal
errötest blushing
befruchtet cross-pollinating
balanciert ballbot
wirkt counteracts
[dynamisch] [dynamically]
biokomposit biocomposite
magnetotaktische magnetotactic
einpolige single-domain
molekülmasse molar
halbleiter semiconductors
virusgetriebenes virus-powered
photokatalytischer photocatalytic
farbabsorbierende dye-absorbing
farbsensitivierter dye-sensitized
phasenbasiert phased-based
phasenbasierte stage-based
achtstündiges eight-hour
nachmittage afternoons
unverblümt bluntly
geldbörsen purses
lohnempfänger earner
nachahmungen fakes
gekriegt busting
aaaaausstrecken reeeee-e-e-each
sozialstratege strategist
maßen moderation
verengen constricts
angeschaltet" disease-preventing
bereute regretted
eingebildet prided
stündlich hourly
familienthemen unrelated
rumsitzen stressing
fassungslosigkeit bewilderment
beschützend perseverative
beschützens perseveration
ent-freunden unfriend
ent-folgen unfollow
fühlbar encapsulated
verflochten interdependent
nicht-demokratische non-democratic
renditeträchtigen high-margin
unsicheren low-volume
bezahlbasis uncertain-payment
niedrig-margen low-margin
industriegerechte industry-right
gestalteten reorganized
wohlverdienten well-deserved
gegenüberstanden junctures
erbrachten exerted
vernachlässigten defaulted
anfangsinvestitionen upfront
neu-wachsen re-waxing
wandtafeln whiteboards
auto-windschutzscheiben windshields
mittelbali south-central
landschaft landscaping
schlamm-ringen wrestling
lernschwächeren learning-different
zerknüllten squashed
begleite join
aussergewöhnlichen off-the-grid
freistehende freestanding
wiederaufgeflammten salivary
voraufgezeichnete pre-taped
anschließende recuperation
aufbringen difficulties
intonationen intonations
computerunterstütze computer-assisted
könne assist
multiplayer-spiele multiple-player
atech-rechnersysteme atech
modell-100-rechner 100's
klugscheißerkrüppel smartass
gestrigen yesterday's
meinungsorientiert opinion-driven
abgetakelte run-down
egoistisch egotistic
durchblättern flipping
neugestaltungen redesigns
apartheit dwindle
gedenkfeier commemoration
schlitzte slicing
schäumte foamed
intensivpflege gomer
krankenhauskleidung scrubs
benahm acted
stimmte opted
einziges academicians
genauen shuddered
stilles deathly
fünfsechstel-drehung sixths
gegenuhrzeigersinn anticlockwise
spiegelsymmetrie reflectional
nten infinite-dimensional
nachnamen surname
resultierte historically
druckmaschine paige
welttournee recoup
rettungsboote lifeboats
1-liter-flaschen one-liter
fässer flasks
winzige formulated
geometrisch geometrically
arithmetisch arithmetically
überkultivierung over-cultivation
angerufene redial
anrufbeantworter answering
kürzel keystroke
tastenkürzel devolves
doppelklicken double
auslöseverzögerung shutter
zeitsparendsten time-saving
namhaften prestigious
luftfahrtforschung aeronautic
unlesbar illegible
krumm awry
ankunftsbestimmte destination-control
zweihundertneunundfünfzig seventy-one
papierhandtuchspendern dispensers
dreifach-gefaltete tri-fold
dreifach tri-fold
falten fold
straßendesign road
ampelkreuzungen signalized
kreisverkehre roundabouts
gebüsch shrubbery
einkommenssteigerung incomes
tode deaths
dienstalter seniority
nachrichtenreporter matthews
holzrauch woodsmoke
eisblumenmuster crackle
woolworth-gebäude woolworth
bewundere obstinacy
fingerspuren fingermarks
dunkelrot beet
restspuren residual
polykation polycation
unterscheidbar specificity
poly-anionisches polyanionic
spaltbaren cleavable
farbmarkierte sentinel
farbmarkierten sentinel
